step,split,logit_l1,logit_l2,mean_abs_logit_error,max_logit_error,cosine_similarity,top1_agreement,top5_overlap,kl_divergence,matmul_mae_mean,matmul_rmse_mean
0,train,21690.12109375,69.36888122558594,0.14275828003883362,0.9421396255493164,0.9985790252685547,1.0,0.949999988079071,0.007637040223926306,0.051530373458946524,0.08025834377079764
0,eval,22746.56640625,74.41455078125,0.1497114896774292,1.2375421524047852,0.9990397691726685,1.0,1.0,0.013355161063373089,0.05527088365828572,0.08588543141342717
10,train,30095.99609375,95.55634307861328,0.19808337092399597,1.7558298110961914,0.9972497224807739,1.0,0.949999988079071,0.028866928070783615,0.052313371944983804,0.0809799933621967
10,eval,24560.025390625,79.72412109375,0.16164717078208923,1.4438958168029785,0.9989383220672607,1.0,1.0,0.020686669275164604,0.055359662081905056,0.08604375814664944
20,train,46808.1484375,144.46095275878906,0.3080780506134033,2.4681825637817383,0.9936414957046509,0.75,0.8999999761581421,0.06211730092763901,0.053790809097777316,0.08257546314205727
20,eval,26157.564453125,84.43475341796875,0.17216172814369202,1.5293374061584473,0.9988460540771484,1.0,1.0,0.023488983511924744,0.05541275484441262,0.08609609621712667
30,train,34396.47265625,107.84486389160156,0.2263878881931305,1.677443504333496,0.9965072274208069,0.75,0.8499999642372131,0.03446938842535019,0.05300796947611796,0.08184174419750635
30,eval,24619.8125,79.5755615234375,0.16204068064689636,1.4447760581970215,0.9989523887634277,1.0,1.0,0.018365202471613884,0.055324353423546836,0.08600905421017752
40,train,30894.087890625,97.88461303710938,0.2033361941576004,1.3520722389221191,0.9971067309379578,0.75,0.8999999761581421,0.02392628788948059,0.05288710120369469,0.08170176473745495
40,eval,24021.845703125,77.72307586669922,0.1581050306558609,1.4104995727539062,0.9989901781082153,1.0,1.0,0.016262538731098175,0.0552745733584743,0.08589840702455595
50,train,28284.44140625,90.33740997314453,0.18616023659706116,1.3592582941055298,0.9975032806396484,0.75,0.8999999761581421,0.021454915404319763,0.05270924511487519,0.08153442170859464
50,eval,23708.60546875,76.70931243896484,0.1560433804988861,1.3856134414672852,0.9990170001983643,1.0,1.0,0.014665596187114716,0.05527511576845685,0.0858828625107906
60,train,25696.771484375,81.9779281616211,0.1691289097070694,1.327389121055603,0.9979150891304016,0.75,0.949999988079071,0.01749611087143421,0.0522836842256448,0.08112999071226215
60,eval,23584.140625,76.35673522949219,0.15522417426109314,1.3797507286071777,0.9990295171737671,1.0,1.0,0.013896388001739979,0.05526615161853071,0.08589316029552806
70,train,23666.72265625,75.30567932128906,0.15576769411563873,1.205127239227295,0.998235821723938,0.75,0.949999988079071,0.01318708062171936,0.051914227097698204,0.08074440252150894
70,eval,23653.533203125,76.55928039550781,0.15568089485168457,1.380174160003662,0.9990323781967163,1.0,1.0,0.013170991092920303,0.05529077427202392,0.08593992966095663
80,train,21471.86328125,68.7607192993164,0.14132176339626312,1.095117211341858,0.9985039830207825,0.75,0.949999988079071,0.011410188861191273,0.05168596207374843,0.08051766325532288
80,eval,23707.02734375,76.7683334350586,0.1560329794883728,1.3835391998291016,0.9990329742431641,1.0,1.0,0.012741501443088055,0.05525615930415348,0.08585170853849275
90,train,20243.83203125,65.04693603515625,0.13323920965194702,1.065073013305664,0.9986580610275269,0.75,0.949999988079071,0.01079520396888256,0.05148553643175008,0.08018446800799436
90,eval,23691.50390625,76.72434997558594,0.15593081712722778,1.3869333267211914,0.9990351796150208,1.0,1.0,0.012428248301148415,0.055185476469634426,0.0856418523351254
100,train,20694.74609375,66.4139404296875,0.1362069994211197,1.104095220565796,0.9986094236373901,0.75,0.949999988079071,0.011661800555884838,0.05146925593889938,0.0801693180662245
100,eval,23792.4609375,77.05596923828125,0.15659528970718384,1.399057388305664,0.9990294575691223,1.0,1.0,0.012645277194678783,0.055225715615057125,0.08575224731056869
